Trade Date,Underlying,Product Type,Exchange,Volume
2020/09/08,CAT,S,CBOE,3656
2020/09/08,CAT,S,EDGX,897
2020/09/09,CAT,S,BATS,3652
2020/09/09,CAT,S,C2,415
2020/09/09,CAT,S,CBOE,4420
2020/09/09,CAT,S,EDGX,2063
2020/09/10,CAT,S,BATS,1255
2020/09/10,CAT,S,C2,169
2020/09/10,CAT,S,CBOE,2754
2020/09/10,CAT,S,EDGX,692
2020/09/11,CAT,S,BATS,3298
2020/09/11,CAT,S,C2,404
2020/09/11,CAT,S,CBOE,6077
2020/09/11,CAT,S,EDGX,1717
2020/09/14,CAT,S,BATS,805
2020/09/14,CAT,S,C2,137
2020/09/14,CAT,S,CBOE,1614
2020/09/14,CAT,S,EDGX,813
2020/09/15,CAT,S,BATS,1391
2020/09/15,CAT,S,C2,303
2020/09/15,CAT,S,CBOE,4468
2020/09/15,CAT,S,EDGX,1330
2020/09/16,CAT,S,BATS,1013
2020/09/16,CAT,S,C2,142
2020/09/16,CAT,S,CBOE,2810
2020/09/16,CAT,S,EDGX,806
2020/09/17,CAT,S,BATS,4464
2020/09/17,CAT,S,C2,989
2020/09/17,CAT,S,CBOE,5736
2020/09/17,CAT,S,EDGX,1647
2020/09/18,CAT,S,BATS,2486
2020/09/18,CAT,S,C2,376
2020/09/18,CAT,S,CBOE,3468
2020/09/18,CAT,S,EDGX,1200
2020/09/21,CAT,S,BATS,2210
2020/09/21,CAT,S,C2,385
2020/09/21,CAT,S,CBOE,4698
2020/09/21,CAT,S,EDGX,1562
2020/09/22,CAT,S,BATS,919
2020/09/22,CAT,S,C2,285
2020/09/22,CAT,S,CBOE,2186
2020/09/22,CAT,S,EDGX,484
2020/09/23,CAT,S,BATS,873
2020/09/23,CAT,S,C2,160
2020/09/23,CAT,S,CBOE,1701
2020/09/23,CAT,S,EDGX,482
2020/09/24,CAT,S,BATS,605
2020/09/24,CAT,S,C2,158
2020/09/24,CAT,S,CBOE,1993
2020/09/24,CAT,S,EDGX,542
2020/09/25,CAT,S,BATS,474
2020/09/25,CAT,S,C2,58
2020/09/25,CAT,S,CBOE,1581
2020/09/25,CAT,S,EDGX,320
2020/09/28,CAT,S,BATS,1072
2020/09/28,CAT,S,C2,82
2020/09/28,CAT,S,CBOE,2257
2020/09/28,CAT,S,EDGX,550
2020/09/29,CAT,S,BATS,612
2020/09/29,CAT,S,C2,71
2020/09/29,CAT,S,CBOE,1561
2020/09/29,CAT,S,EDGX,476
2020/09/30,CAT,S,BATS,831
2020/09/30,CAT,S,C2,120
2020/09/30,CAT,S,CBOE,1501
2020/09/30,CAT,S,EDGX,259
2020/10/01,CAT,S,BATS,660
2020/10/01,CAT,S,C2,99
2020/10/01,CAT,S,CBOE,2616
2020/10/01,CAT,S,EDGX,346
2020/10/02,CAT,S,BATS,1897
2020/10/02,CAT,S,C2,416
2020/10/02,CAT,S,CBOE,3827
2020/10/02,CAT,S,EDGX,659
2020/10/05,CAT,S,BATS,2593
2020/10/05,CAT,S,C2,440
2020/10/05,CAT,S,CBOE,3860
2020/10/05,CAT,S,EDGX,721
2020/10/06,CAT,S,BATS,1708
2020/10/06,CAT,S,C2,228
2020/10/06,CAT,S,CBOE,2212
2020/10/06,CAT,S,EDGX,529
2020/10/07,CAT,S,BATS,2188
2020/10/07,CAT,S,C2,117
2020/10/07,CAT,S,CBOE,2494
2020/10/07,CAT,S,EDGX,644
2020/10/08,CAT,S,BATS,1133
2020/10/08,CAT,S,C2,184
2020/10/08,CAT,S,CBOE,1568
2020/10/08,CAT,S,EDGX,379
2020/10/09,CAT,S,BATS,2470
2020/10/09,CAT,S,C2,232
2020/10/09,CAT,S,CBOE,4125
2020/10/09,CAT,S,EDGX,855
2020/10/12,CAT,S,BATS,2825
2020/10/12,CAT,S,C2,276
2020/10/12,CAT,S,CBOE,3890
2020/10/12,CAT,S,EDGX,849
2020/10/13,CAT,S,BATS,1257
2020/10/13,CAT,S,C2,138
2020/10/13,CAT,S,CBOE,2523
2020/10/13,CAT,S,EDGX,581
2020/10/14,CAT,S,BATS,1620
2020/10/14,CAT,S,C2,348
2020/10/14,CAT,S,CBOE,2707
2020/10/14,CAT,S,EDGX,529
2020/10/15,CAT,S,BATS,1602
2020/10/15,CAT,S,C2,253
2020/10/15,CAT,S,CBOE,3053
2020/10/15,CAT,S,EDGX,499
2020/10/16,CAT,S,BATS,4371
2020/10/16,CAT,S,C2,689
2020/10/16,CAT,S,CBOE,10955
2020/10/16,CAT,S,EDGX,1603
2020/10/19,CAT,S,BATS,1394
2020/10/19,CAT,S,C2,755
2020/10/19,CAT,S,CBOE,2689
2020/10/19,CAT,S,EDGX,336
2020/10/20,CAT,S,BATS,1130
2020/10/20,CAT,S,C2,76
2020/10/20,CAT,S,CBOE,2237
2020/10/20,CAT,S,EDGX,278
2020/10/21,CAT,S,BATS,907
2020/10/21,CAT,S,C2,117
2020/10/21,CAT,S,CBOE,1903
2020/10/21,CAT,S,EDGX,177
